书名,链接,价格,作者,出版日期,出版社
Python编程入门第3版【售后无忧】,//product.dangdang.com/669182352.html,¥5.98,(加)Toby Donaldson,2013-12-01,人民邮电出版社
Python文本数据分析与挖掘,//product.dangdang.com/617994952.html,¥28.60,(日)山内长承|编者:张鹏|责编:刘稚清|译者:张倩南//刘博...,2021-06-01,中国青年
Python数据挖掘入门与实践,//product.dangdang.com/12351475446.html,¥6.13,[澳] Robert Layton,2016-07-01,人民邮电出版社
Python 3.5从零开始学,//product.dangdang.com/11993374212.html,¥6.01,刘宇宙 著,2017-07-01,清华大学出版社
Python高效开发实战:Django、Tornado、Flask、Twisted【正版】,//product.dangdang.com/11942220062.html,¥6.01,刘长龙 著,2016-10-01,电子工业出版社
Python编程入门与实战指南,//product.dangdang.com/11995151564.html,¥29.50,编者:曹锐//张钰梅//高文莲|,2025-05-01,西安电子科大
Python程序设计案例教程：从入门到机器学习【正版】,//product.dangdang.com/11959765573.html,¥6.38,张思民 著,2018-09-01,清华大学出版社
Python机器学习算法【正版】,//product.dangdang.com/11942422602.html,¥6.88,赵志勇 著,2017-07-01,电子工业出版社
Python机器学习算法【正版】,//product.dangdang.com/11959753413.html,¥6.88,赵志勇 著,2017-07-01,电子工业出版社
Python爬虫与反爬虫开发从入门到精通,//product.dangdang.com/11773918211.html,¥52.47,,2021-08-01,北京大学出版社
Python编程案例教程,//product.dangdang.com/12355177914.html,¥6.99,"高登,刘洋,原锦明",2023-03-23,航空工业出版社
PYTHON异步编程 [澳大利亚]凯莱布 哈廷（Caleb Hattingh） 中国电力出版社 【新华书店正版图书书籍】,//product.dangdang.com/12355474836.html,¥24.70,凯莱布 哈廷,2023-05-01,中国电力出版社
Python数据可视化编程实战【正版】,//product.dangdang.com/11960009863.html,¥7.15,"[爱尔兰] Igor Milovanovic 著,颛清山 译",2015-05-01,人民邮电出版社
Python极客项目编程,//product.dangdang.com/12351153606.html,¥7.24,[美] Mahesh Venkitachalam,2017-03-01,人民邮电出版社
Python程序设计案例教程 单显明、贾琼、陈琦 编 北京理工大学出版社,//product.dangdang.com/12325835550.html,¥7.00,单显明、贾琼、陈琦 编,2020-11-01,北京理工大学出版社
Python语言编程基础,//product.dangdang.com/12327703254.html,¥31.10,编者:邵淑华//曲立超//周玲|,2025-07-01,天津大学
Python程序设计案例教程 单显明、贾琼、陈琦 编 北京理工大学出版社,//product.dangdang.com/12461579291.html,¥7.00,单显明、贾琼、陈琦 编,2020-11-01,北京理工大学出版社
